,Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,Unnamed: 12,coords0,coords1,coords2
1012,HA,CY044820,Yes,4,1707,H3N2,2008-04-16,IRD:Human,USA,Massachusetts,07-08,A/Boston/88/2008(H3N2),,1.938707709312439,-2.0776774883270264,0.9189898371696472
1013,HA,CY044469,Yes,4,1704,H3N2,2008-02-27,IRD:Human,USA,Massachusetts,07-08,A/Boston/9/2008(H3N2),,1.9815630912780762,-2.048755407333374,1.0448023080825806
1014,HA,CY044828,Yes,4,1707,H3N2,2008-01-01,IRD:Human,USA,Massachusetts,-N/A-,A/Boston/92/2008(H3N2),,1.7810813188552856,-1.7624558210372925,0.6667812466621399
1015,HA,CY044844,Yes,4,1707,H3N2,2008-02-20,IRD:Human,USA,Massachusetts,07-08,A/Boston/96/2008(H3N2),,1.9580843448638916,-1.961637258529663,1.007106900215149
1016,HA,CY044852,Yes,4,1729,H3N2,2008-03-14,IRD:Human,USA,Massachusetts,07-08,A/Boston/97/2008(H3N2),,1.9815630912780762,-2.048755407333374,1.0448023080825806
1017,HA,CY089765,Yes,4,1738,H3N2,2009-05-11,IRD:Human,USA,Massachusetts,-N/A-,A/Boston/97/2009(H3N2),,1.7231724262237549,-1.6240928173065186,1.1383854150772095
1018,HA,CY089773,Yes,4,1732,H3N2,2009-04-27,IRD:Human,USA,Massachusetts,-N/A-,A/Boston/99/2009(H3N2),,1.986192226409912,-1.9150159358978271,0.9203649163246155
1019,HA,CY111126,Yes,4,1735,H3N2,2011-01-03,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA01/2011,,2.803096055984497,-1.0603868961334229,1.415774941444397
1020,HA,CY111134,Yes,4,1731,H3N2,2011-01-04,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA02/2011,,1.5059998035430908,-1.2121689319610596,1.3087173700332642
1021,HA,CY111142,Yes,4,1732,H3N2,2011-01-03,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA03/2011,,1.3060963153839111,-1.1150104999542236,1.386412262916565
1022,HA,CY111150,Yes,4,1735,H3N2,2011-01-05,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA04/2011,,2.7220962047576904,-0.6148301362991333,1.405068039894104
1023,HA,CY111158,Yes,4,1735,H3N2,2011-01-11,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA05/2011,,2.803096055984497,-1.0603868961334229,1.415774941444397
1024,HA,CY111166,Yes,4,1735,H3N2,2011-01-12,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA06/2011,,2.4828150272369385,-0.8592984676361084,1.307294487953186
1025,HA,CY111174,Yes,4,1735,H3N2,2011-01-13,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA07/2011,,1.3060963153839111,-1.1150104999542236,1.386412262916565
1026,HA,CY111182,Yes,4,1735,H3N2,2011-01-13,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA09/2011(H3N2),,1.4274934530258179,-1.258255124092102,1.2437671422958374
1027,HA,CY111222,Yes,4,1731,H3N2,2011-01-13,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA10/2011,,2.803096055984497,-1.0603868961334229,1.415774941444397
1028,HA,CY111230,Yes,4,1732,H3N2,2011-01-13,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA11/2011(H3N2),,2.7572624683380127,-0.9372570514678955,1.3417936563491821
1029,HA,CY111238,Yes,4,1735,H3N2,2011-01-15,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA12/2011,,1.3060963153839111,-1.1150104999542236,1.386412262916565
1030,HA,CY111214,Yes,4,1731,H3N2,2011-01-19,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA13/2011(H3N2),,1.5059998035430908,-1.2121689319610596,1.3087173700332642
1031,HA,CY111198,Yes,4,1735,H3N2,2011-01-18,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA15/2011(H3N2),,3.006171464920044,-0.9692871570587158,1.3020683526992798
1032,HA,CY116699,Yes,4,1731,H3N2,2011-01-19,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA16/2011,,1.4928052425384521,-1.4338303804397583,1.4647266864776611
1033,HA,CY111190,Yes,4,1735,H3N2,2011-01-21,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA17/2011(H3N2),,2.4828150272369385,-0.8592984676361084,1.307294487953186
1034,HA,CY139586,No,4,1737,H3N2,2011-01-25,IRD:Human,USA,Massachusetts,10-11,A/Boston/DOA18/2011,,1.4509546756744385,-1.18843674659729,1.1957131624221802
1035,HA,CY148292,Yes,4,1737,H3N2,2012-09-12,IRD:Human,USA,Massachusetts,-N/A-,A/Boston/DOA2-095/2012,,1.2272303104400635,-1.00826096534729,2.089097023010254
1036,HA,CY148300,Yes,4,1737,H3N2,2012-11-12,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-097/2012,,1.3764994144439697,-1.1536028385162354,2.2437572479248047
1037,HA,CY148308,Yes,4,1737,H3N2,2012-12-12,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-098/2012,,1.3764994144439697,-1.1536028385162354,2.2437572479248047
1038,HA,CY148324,Yes,4,1737,H3N2,2012-12-13,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-100/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1039,HA,CY148332,Yes,4,1737,H3N2,2012-12-14,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-101/2012,,1.1510344743728638,-1.2623332738876343,1.8882486820220947
1040,HA,CY148340,Yes,4,1737,H3N2,2012-12-15,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-102/2012,,1.2495310306549072,-0.6050454378128052,2.4871225357055664
1041,HA,CY148348,Yes,4,1737,H3N2,2012-12-17,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-103/2012,,0.9069603085517883,-1.0818601846694946,2.383296489715576
1042,HA,CY148356,Yes,4,1737,H3N2,2012-12-22,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-104/2012,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1043,HA,CY148364,Yes,4,1737,H3N2,2012-12-21,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-105/2012,,1.174225091934204,-1.18276047706604,2.2691235542297363
1044,HA,CY148372,Yes,4,1737,H3N2,2012-11-14,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-106/2012,,1.22939133644104,-0.6598341464996338,2.5835371017456055
1045,HA,CY148380,Yes,4,1737,H3N2,2012-11-01,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-107/2012,,1.22939133644104,-0.6598341464996338,2.5835371017456055
1046,HA,CY148388,Yes,4,1737,H3N2,2012-10-11,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-108/2012,,1.22939133644104,-0.6598341464996338,2.5835371017456055
1047,HA,CY148396,Yes,4,1737,H3N2,2012-09-13,IRD:Human,USA,Massachusetts,-N/A-,A/Boston/DOA2-109/2012,,1.3764994144439697,-1.1536028385162354,2.2437572479248047
1048,HA,CY148404,Yes,4,1737,H3N2,2012-12-07,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-110/2012,,1.3293983936309814,-0.9016826152801514,2.105924606323242
1049,HA,CY148412,Yes,4,1737,H3N2,2012-12-02,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-111/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1050,HA,CY148420,Yes,4,1737,H3N2,2012-12-04,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-112/2012,,1.3764994144439697,-1.1536028385162354,2.2437572479248047
1051,HA,CY148428,Yes,4,1737,H3N2,2012-12-02,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-113/2012,,1.3509724140167236,-0.9867122173309326,2.2005529403686523
1052,HA,CY148436,Yes,4,1737,H3N2,2012-12-03,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-114/2012,,1.2163383960723877,-1.4739716053009033,2.3151159286499023
1053,HA,CY148444,Yes,4,1737,H3N2,2012-12-05,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-115/2012,,1.3471415042877197,-0.7143938541412354,2.665560722351074
1054,HA,CY148452,Yes,4,1737,H3N2,2012-12-03,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-116/2012,,1.2272303104400635,-1.00826096534729,2.089097023010254
1055,HA,CY148460,Yes,4,1737,H3N2,2012-12-07,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-117/2012,,1.2163383960723877,-1.4739716053009033,2.3151159286499023
1056,HA,CY148468,Yes,4,1737,H3N2,2012-12-24,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-119/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1057,HA,CY148476,Yes,4,1737,H3N2,2012-12-24,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-120/2012,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1058,HA,CY148484,Yes,4,1737,H3N2,2012-12-24,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-121/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1059,HA,CY148492,Yes,4,1737,H3N2,2012-12-26,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-122/2012,,1.4217827320098877,-0.7670929431915283,2.672116279602051
1060,HA,CY148500,Yes,4,1737,H3N2,2012-12-26,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-123/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1061,HA,CY148508,Yes,4,1737,H3N2,2012-12-26,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-124/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1062,HA,CY148516,Yes,4,1737,H3N2,2012-12-26,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-125/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1063,HA,CY148524,Yes,4,1737,H3N2,2012-12-16,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-126/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1064,HA,CY148532,Yes,4,1737,H3N2,2012-12-17,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-127/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1065,HA,CY148540,Yes,4,1737,H3N2,2012-12-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-128/2012,,1.3549253940582275,-1.068573236465454,2.1491289138793945
1066,HA,CY148548,Yes,4,1737,H3N2,2012-12-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-129/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1067,HA,CY148556,Yes,4,1737,H3N2,2012-12-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-130/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1068,HA,CY148564,Yes,4,1737,H3N2,2012-12-19,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-131/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1069,HA,CY148572,Yes,4,1737,H3N2,2012-12-19,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-132/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1070,HA,CY148580,Yes,4,1737,H3N2,2012-12-20,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-133/2012,,1.2566702365875244,-0.6907002925872803,2.562490463256836
1071,HA,CY148588,Yes,4,1737,H3N2,2012-12-20,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-134/2012,,1.5106689929962158,-0.8661158084869385,2.4669580459594727
1072,HA,CY148596,Yes,4,1737,H3N2,2012-12-20,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-135/2012,,1.2972261905670166,-1.4917995929718018,2.419651985168457
1073,HA,CY148604,Yes,4,1737,H3N2,2012-12-20,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-136/2012,,1.2163383960723877,-1.4739716053009033,2.3151159286499023
1074,HA,CY148612,Yes,4,1737,H3N2,2012-12-21,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-137/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1075,HA,CY148620,Yes,4,1731,H3N2,2012-12-20,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-138/2012,,2.8382198810577393,-0.7955620288848877,1.2458959817886353
1076,HA,CY148628,Yes,4,1737,H3N2,2012-12-10,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-140/2012,,1.2272303104400635,-1.00826096534729,2.089097023010254
1077,HA,CY148636,Yes,4,1731,H3N2,2012-12-21,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-141/2012,,2.8382198810577393,-0.7955620288848877,1.2458959817886353
1078,HA,CY148644,Yes,4,1737,H3N2,2012-12-21,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-142/2012,,1.2691576480865479,-0.6493532657623291,2.5709314346313477
1079,HA,CY148652,Yes,4,1737,H3N2,2012-12-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-143/2012,,1.0685722827911377,-1.4916340112686157,2.1565237045288086
1080,HA,CY148660,Yes,4,1737,H3N2,2013-01-16,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-144/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1081,HA,CY148668,Yes,4,1731,H3N2,2013-01-20,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-145/2013,,2.7560670375823975,-0.6938378810882568,1.044467568397522
1082,HA,CY148676,Yes,4,1737,H3N2,2013-01-20,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-146/2013,,1.0278314352035522,-1.6134543418884277,2.381147861480713
1083,HA,CY148684,Yes,4,1737,H3N2,2012-12-30,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-147/2012,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1084,HA,CY148692,Yes,4,1737,H3N2,2013-01-08,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-148/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1085,HA,CY148700,Yes,4,1737,H3N2,2013-01-09,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-149/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1086,HA,CY148708,Yes,4,1737,H3N2,2013-01-05,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-150/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1087,HA,CY148716,Yes,4,1737,H3N2,2013-01-10,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-151/2013,,1.3471415042877197,-0.7143938541412354,2.665560722351074
1088,HA,CY148724,Yes,4,1737,H3N2,2013-01-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-153/2013,,0.9833366274833679,-1.2583290338516235,2.295569896697998
1089,HA,CY148732,Yes,4,1737,H3N2,2013-01-16,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-154/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1090,HA,CY148740,Yes,4,1731,H3N2,2012-12-29,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-155/2012,,2.773188829421997,-0.6010099649429321,1.1116653680801392
1091,HA,CY148748,Yes,4,1737,H3N2,2013-01-13,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-156/2013,,1.317500352859497,-0.63862144947052,2.5175657272338867
1092,HA,CY148756,Yes,4,1737,H3N2,2013-01-09,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-157/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1093,HA,CY148764,Yes,4,1737,H3N2,2013-01-03,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-158/2013,,1.5106689929962158,-0.8661158084869385,2.4669580459594727
1094,HA,CY148772,Yes,4,1737,H3N2,2013-01-10,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-159/2013,,1.3471415042877197,-0.7143938541412354,2.665560722351074
1095,HA,CY148780,Yes,4,1737,H3N2,2013-01-02,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-161/2013,,1.2260966300964355,-1.2229478359222412,2.239396095275879
1096,HA,CY148788,Yes,4,1737,H3N2,2012-01-10,IRD:Human,USA,Massachusetts,11-12,A/Boston/DOA2-162/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1097,HA,CY148796,Yes,4,1731,H3N2,2013-01-11,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-163/2013,,2.5848515033721924,-0.6869133710861206,1.1325547695159912
1098,HA,CY148804,Yes,4,1737,H3N2,2013-01-04,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-166/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1099,HA,CY148812,Yes,4,1737,H3N2,2012-12-31,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-167/2012,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1100,HA,CY148820,Yes,4,1737,H3N2,2012-12-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-168/2012,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1101,HA,CY148828,Yes,4,1737,H3N2,2012-12-31,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-169/2012,,1.2306029796600342,-0.6289688348770142,2.4359850883483887
1102,HA,CY148836,Yes,4,1737,H3N2,2013-01-12,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-170/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1103,HA,CY148844,Yes,4,1737,H3N2,2012-12-29,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-171/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1104,HA,CY148852,Yes,4,1737,H3N2,2013-01-17,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-172/2013,,1.3407261371612549,-1.0337669849395752,2.161478042602539
1105,HA,CY148860,Yes,4,1737,H3N2,2013-01-06,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-173/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1106,HA,CY148868,Yes,4,1737,H3N2,2013-01-04,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-174/2013,,1.2008295059204102,-0.6550066471099854,2.5081076622009277
1107,HA,CY148876,Yes,4,1737,H3N2,2013-01-06,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-175/2013,,1.2538464069366455,-0.694692850112915,2.6561851501464844
1108,HA,CY148884,Yes,4,1737,H3N2,2013-01-02,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-176/2013,,1.3607113361358643,-0.613688588142395,2.730875015258789
1109,HA,CY148892,Yes,4,1737,H3N2,2013-01-07,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-177/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1110,HA,CY148900,Yes,4,1737,H3N2,2013-01-08,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-178/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1111,HA,CY148908,Yes,4,1737,H3N2,2013-01-15,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-179/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1112,HA,CY148916,Yes,4,1737,H3N2,2013-01-13,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-180/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1113,HA,CY148924,Yes,4,1737,H3N2,2013-01-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-181/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1114,HA,CY148932,Yes,4,1737,H3N2,2013-01-08,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-182/2013,,1.3109638690948486,-0.6351950168609619,2.672114372253418
1115,HA,CY148940,Yes,4,1737,H3N2,2013-01-09,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-183/2013,,1.5106689929962158,-0.8661158084869385,2.4669580459594727
1116,HA,CY148948,Yes,4,1737,H3N2,2013-01-07,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-184/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1117,HA,CY148956,Yes,4,1737,H3N2,2013-01-06,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-185/2013,,1.3162376880645752,-1.0744526386260986,2.624283790588379
1118,HA,CY148964,Yes,4,1737,H3N2,2013-01-11,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-186/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1119,HA,CY148972,Yes,4,1737,H3N2,2013-01-16,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-187/2013,,1.1400195360183716,-0.7073315382003784,2.810128688812256
1120,HA,CY148980,Yes,4,1737,H3N2,2013-01-14,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-189/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1121,HA,CY148988,Yes,4,1737,H3N2,2013-01-11,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-190/2013,,1.2260966300964355,-1.2229478359222412,2.239396095275879
1122,HA,CY148996,Yes,4,1737,H3N2,2013-01-02,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-191/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1123,HA,CY149004,Yes,4,1737,H3N2,2013-01-01,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-192/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1124,HA,CY149012,Yes,4,1737,H3N2,2013-01-17,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-194/2013,,1.027095079421997,-1.575143575668335,2.4607582092285156
1125,HA,CY149020,Yes,4,1737,H3N2,2013-01-23,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-196/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1126,HA,CY149028,Yes,4,1737,H3N2,2013-01-17,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-199/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1127,HA,CY149036,Yes,4,1737,H3N2,2013-01-15,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-201/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1128,HA,CY149044,Yes,4,1737,H3N2,2013-01-11,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-202/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1129,HA,CY149052,Yes,4,1737,H3N2,2012-12-29,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-203/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1130,HA,CY149060,Yes,4,1737,H3N2,2013-01-18,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-206/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1131,HA,CY149068,Yes,4,1737,H3N2,2013-01-03,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-207/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1132,HA,CY149076,Yes,4,1737,H3N2,2012-12-28,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-209/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1133,HA,CY149084,Yes,4,1737,H3N2,2013-01-09,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-212/2013,,1.0461256504058838,-1.51009202003479,2.346435546875
1134,HA,CY149092,Yes,4,1737,H3N2,2013-01-22,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-213/2013,,1.0987370014190674,-1.51888906955719,2.5032033920288086
1135,HA,CY149100,Yes,4,1737,H3N2,2013-01-07,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-214/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1136,HA,CY149108,Yes,4,1737,H3N2,2013-01-15,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-215/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1137,HA,CY149116,Yes,4,1737,H3N2,2013-01-15,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-217/2013,,1.2260966300964355,-1.2229478359222412,2.239396095275879
1138,HA,CY149124,Yes,4,1737,H3N2,2013-01-15,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-218/2013,,1.3471415042877197,-0.7143938541412354,2.665560722351074
1139,HA,CY149132,Yes,4,1737,H3N2,2012-12-29,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-219/2012,,1.2972261905670166,-1.4917995929718018,2.419651985168457
1140,HA,CY149140,Yes,4,1737,H3N2,2013-01-07,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-220/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1141,HA,CY149148,Yes,4,1737,H3N2,2013-01-23,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-221/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1142,HA,CY149156,Yes,4,1737,H3N2,2012-12-28,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-222/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1143,HA,CY149164,Yes,4,1737,H3N2,2012-12-30,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-223/2012,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1144,HA,CY149172,Yes,4,1731,H3N2,2013-01-01,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-224/2013,,2.291440010070801,-0.5224785804748535,0.9103977084159851
1145,HA,CY149180,Yes,4,1737,H3N2,2013-01-22,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-225/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1146,HA,CY149188,Yes,4,1737,H3N2,2013-01-05,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-226/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1147,HA,CY149196,Yes,4,1737,H3N2,2013-01-11,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-227/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1148,HA,CY149204,Yes,4,1737,H3N2,2013-01-05,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-228/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1149,HA,CY149212,Yes,4,1737,H3N2,2013-01-11,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-229/2013,,1.1063377857208252,-1.5673681497573853,2.4460983276367188
1150,HA,CY149220,Yes,4,1737,H3N2,2013-01-17,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-230/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1151,HA,CY149228,Yes,4,1737,H3N2,2013-01-10,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-232/2013,,1.2671988010406494,-0.6323205232620239,2.560786247253418
1152,HA,CY149236,Yes,4,1737,H3N2,2013-01-03,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-233/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
1153,HA,CY149244,Yes,4,1737,H3N2,2013-01-07,IRD:Human,USA,Massachusetts,12-13,A/Boston/DOA2-235/2013,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
